epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7827,1.94336,3.44167,1.56818,0.00693,0.73333,0.02962,0.013,1.84323,3.44286,1.64473,7.145e-05,7.145e-05,7.145e-05
2,27.4084,1.55197,3.18883,1.27888,0.00985,1,0.46508,0.26406,1.03521,3.20143,0.94575,0.000154596,0.000154596,0.000154596
3,28.8787,1.26672,2.51297,1.12433,0.00968,1,0.84191,0.4426,1.08222,3.00379,0.9769,0.000234913,0.000234913,0.000234913
4,30.8747,1.28906,2.04622,1.14949,0.00963,1,0.81616,0.48609,1.15232,2.83915,0.97656,0.000312401,0.000312401,0.000312401
5,33.2466,1.28947,1.65043,1.16702,0.0095,1,0.78243,0.48432,1.14937,2.7033,0.99948,0.000387059,0.000387059,0.000387059
6,34.7212,1.30326,1.35229,1.22912,0.00936,1,0.76336,0.4652,1.12103,2.69853,0.92669,0.000458888,0.000458888,0.000458888
7,36.2813,1.23826,1.2355,1.18037,0.00938,1,0.72616,0.46362,1.14817,2.75335,0.93548,0.000527887,0.000527887,0.000527887
8,37.7844,1.22377,1.1932,1.17221,0.00957,1,0.78547,0.48185,1.10596,2.6464,0.97487,0.000594057,0.000594057,0.000594057
9,39.2781,1.17821,1.06743,1.13166,1,0.29012,0.86518,0.53602,1.19821,2.36428,0.99467,0.000657397,0.000657397,0.000657397
10,40.8142,1.15829,1.032,1.13188,1,0.40174,0.92288,0.5639,1.16427,2.11087,0.99386,0.000717908,0.000717908,0.000717908
11,42.3337,1.2177,1.04565,1.15319,1,0.52943,0.98389,0.65372,1.21477,1.88361,1.04174,0.00077559,0.00077559,0.00077559
12,44.2022,1.19453,1.00198,1.12057,1,0.49016,0.995,0.65129,1.26357,1.88527,1.07134,0.000830442,0.000830442,0.000830442
13,46.3528,1.18578,0.99486,1.16406,0.98546,0.6552,0.995,0.64105,1.25388,1.78961,1.07829,0.000882465,0.000882465,0.000882465
